Date,Load,Irridiance,Temperature,Wind,Humidity
1/1/22 0:00,3024,0,14.98,4.73,10.44
1/1/22 1:00,3103,0,14.55,4.81,10.31
1/1/22 2:00,3014,0,14.18,4.48,10.25
1/1/22 3:00,3206,0,13.9,4.09,10.13
1/1/22 4:00,3166,0,13.65,3.89,10.01
1/1/22 5:00,3222,2.25,14.65,1.59,9.58
1/1/22 6:00,3438,52.58,15.97,1.17,9.95
1/1/22 7:00,3324,143.3,17.73,0.98,10.62
1/1/22 8:00,4985,227.08,20.41,0.55,10.99
1/1/22 9:00,7290,299.92,23.08,1,10.5
1/1/22 10:00,7296,338.9,23.66,1.68,10.74
1/1/22 11:00,5115,335.45,23.85,2.02,11.17
1/1/22 12:00,5164,295.17,23.84,2.06,11.41
1/1/22 13:00,3745,234.27,23.67,1.94,11.47
1/1/22 14:00,3528,145.83,23.28,1.96,11.54
1/1/22 15:00,5012,48.1,22.24,2.29,12.08
1/1/22 16:00,5387,0,20.4,2.82,11.11
1/1/22 17:00,7232,0,19.66,2.9,10.74
1/1/22 18:00,9358,0,19.18,2.76,10.56
1/1/22 19:00,9171,0,18.76,2.6,10.5
1/1/22 20:00,5156,0,18.16,2.57,10.5
1/1/22 21:00,5250,0,17.37,2.75,10.56
1/1/22 22:00,3080,0,16.56,2.96,10.62
1/1/22 23:00,3163,0,15.86,3.09,10.62
1/2/22 0:00,3272,0,15.23,3.2,10.56
1/2/22 1:00,3117,0,14.73,3.28,10.44
1/2/22 2:00,3257,0,14.48,3.07,10.38
1/2/22 3:00,3095,0,14.48,2.61,10.25
1/2/22 4:00,3282,0,14.52,2.24,10.19
1/2/22 5:00,3391,2.12,14.51,1.94,10.07
1/2/22 6:00,3439,51.12,15.94,1.55,10.31
1/2/22 7:00,3220,141.25,17.8,0.85,10.86
1/2/22 8:00,4966,226.08,20.79,0.52,10.8
1/2/22 9:00,7557,282.55,22.58,0.32,10.25
1/2/22 10:00,7398,338.15,23.19,1.22,10.5
1/2/22 11:00,5041,336.2,23.45,1.79,10.74
1/2/22 12:00,5276,302.38,23.47,2.14,10.93
1/2/22 13:00,3608,239.17,23.24,2.27,10.99
1/2/22 14:00,3972,150.05,22.8,2.33,11.11
1/2/22 15:00,5190,57.98,21.71,2.65,11.84
1/2/22 16:00,5323,0,19.78,3.24,11.23
1/2/22 17:00,7183,0,19.02,3.41,10.93
1/2/22 18:00,9381,0,18.51,3.3,10.8
1/2/22 19:00,8932,0,18.26,2.96,10.8
1/2/22 20:00,5048,0,17.94,2.62,10.8
1/2/22 21:00,5104,0,17.4,2.33,10.74
1/2/22 22:00,3094,0,16.82,1.98,10.68
1/2/22 23:00,3499,0,16.33,1.66,10.62
1/3/22 0:00,3088,0,15.9,1.49,10.56
1/3/22 1:00,3124,0,15.46,1.49,10.5
1/3/22 2:00,3191,0,15.05,1.54,10.44
1/3/22 3:00,3417,0,14.76,1.58,10.31
1/3/22 4:00,3149,0,14.55,1.57,10.13
1/3/22 5:00,3137,2.02,14.4,1.6,9.95
